model,scope,perturbation,level,hours,RMSE,MAE,NSE,R,bias_mm_h,n_values,delta_NSE,relative_delta_NSE_pct,relative_delta_RMSE_pct
cnn,auxiliares,ruido,0.5,48,0.10241817808271945,0.02475476031178546,0.6437563842957321,0.8029959484269769,0.001666998085764603,870816,-0.003758447759887984,-0.580441956511838,0.5317219488910505
cnn,auxiliares,ruido,1.0,12,0.06527866278499152,0.01751843974043771,0.8716358113334892,0.9338090990785054,0.002463503799588959,217704,-0.014485141003449775,-1.6346686042406025,6.169562265935113
cnn,auxiliares,ruido,1.0,24,0.08792458963701659,0.02104610060050413,0.753789234363069,0.8685509474592031,0.0024604953876599177,435408,-0.015278334898452206,-1.9866050148393155,3.2549916480513614
cnn,auxiliares,ruido,1.0,48,0.10388238597976152,0.026095238466293455,0.6334975938541858,0.7965788680021562,0.0015390707679986209,870816,-0.014017238201434301,-2.164774844915097,1.9689603760569327
cnn,todas,faltantes,0.05,12,0.06189422338516153,0.013683126378239149,0.8846011137501474,0.9408421629479842,0.0029759515495293076,217704,-0.0015198385867916109,-0.1715159293754863,0.6650921333430689
cnn,todas,faltantes,0.05,24,0.08540848865858106,0.017883833733348807,0.7676790299732054,0.8765184633604717,0.002647985431774504,435408,-0.0013885392883158376,-0.18054841262506355,0.30018700709073814
cnn,todas,faltantes,0.05,48,0.10203841956032532,0.024272312008897352,0.6463933328475586,0.8045675468554048,0.002247137941158477,870816,-0.0011214992080614827,-0.17320054345336577,0.15895825697872065
cnn,todas,faltantes,0.1,12,0.06207068355667997,0.013749784373521918,0.8839421722852672,0.9404731510196147,0.0029892843418611744,217704,-0.0021787800516718248,-0.24587840361135763,0.9520878892026914
cnn,todas,faltantes,0.1,24,0.08518029090613563,0.017920087993932694,0.7689188200712161,0.8772262948868652,0.0026729914509882186,435408,-0.00014874919030505307,-0.019341498231148394,0.03220103046996687
cnn,todas,faltantes,0.1,48,0.10182627441932011,0.024295725468758342,0.6478621512563387,0.8054913282505568,0.0022710680570863424,870816,0.000347319200718621,0.05363880231376492,-0.04927935012964047
cnn,todas,faltantes,0.2,12,0.064186659688389,0.01392577593380581,0.875894527620452,0.9361319945506164,0.002976722940064873,217704,-0.010226424716487048,-1.1540664611887597,4.393522656465815
cnn,todas,faltantes,0.2,24,0.08619940369758633,0.01807509657595242,0.7633563465601416,0.8739904764746185,0.002726614473762793,435408,-0.005711222701379581,-0.7426165046672878,1.2290048279523798
cnn,todas,faltantes,0.2,48,0.10232686389114522,0.02441447069474054,0.644391341815137,0.8032554771359554,0.0023466524221533885,870816,-0.0031234902404830844,-0.48238126539389964,0.44208968741970606
cnn,todas,ruido,0.1,12,0.06386305676809562,0.01888194108422659,0.87714275135015,0.9368977550142366,0.0036335369504659023,217704,-0.008978200986789031,-1.0132026517498658,3.8672131560906555
cnn,todas,ruido,0.1,24,0.08667457486102734,0.022275579971806722,0.7607401760705661,0.8725669344991934,0.0032884229809525697,435408,-0.008327393190955101,-1.0827908396854236,1.7870261359283228
cnn,todas,ruido,0.1,48,0.10273760069879984,0.02745239046127976,0.6415308083690435,0.8015594009769998,0.0029497945813616996,870816,-0.005984023686576578,-0.9241523730938358,0.8452610708040028
cnn,todas,ruido,0.5,12,0.10201771387295426,0.0572426134945642,0.6864891643827988,0.8423797759266558,0.013148645413775103,217704,-0.19963178795414016,-22.528728998863812,65.92214918583181
cnn,todas,ruido,0.5,24,0.11435788025652659,0.05664338533413922,0.5834966183280235,0.7764519268639243,0.011653169557456279,435408,-0.18557095093349774,-24.129342901780113,34.297151906243165
cnn,todas,ruido,0.5,48,0.12190788926295403,0.05493193452625817,0.4952729019652238,0.7120013141182084,0.010380119260250228,870816,-0.15224193009039633,-23.511728620498854,19.662449149027843
cnn,todas,ruido,1.0,12,0.16523725332309805,0.10451636491283321,0.177535207973329,0.6674944753214639,0.030546989918619902,217704,-0.70858574436361,-79.96490123553438,168.74274237388596
cnn,todas,ruido,1.0,24,0.1627057998935832,0.09709136734779276,0.15687414552728962,0.6088531505260332,0.0260031294974798,435408,-0.6121934237342316,-79.6020334496845,91.07494363588711
